hale,健壮的， 矍铄的
revile,辱骂， 恶言相向
yowl,嚎叫， 恸哭
insidious,暗中危害的， 阴险的
fortuitous,偶然发生的， 偶然的； 幸运的
slothful,迟钝的， 懒惰的
equator,赤道
fervent,炙热的； 热情的
sharpen,削尖； 使敏锐， 使敏捷
sedimentary,沉积的， 沉淀性的
kernel,果仁； 核心
tardy,迟延， 迟到的； 缓慢的， 迟钝的
deaden,减弱， 缓和
excavate,开洞， 凿洞； 挖掘， 发掘
foliage,叶子
component,成分， 零部件
impartial,公平的， 无私的
overwhelm,战胜， 征服， 压倒； 淹没， 席卷
unprecedented,前所未有的
persistence,坚持不懈， 执意， 持续
poach,偷猎， 窃取
disguise,假扮； 掩饰
imperial,帝王的， 至尊的
tedium,冗长乏味
genial,友好的， 和蔼的
hallucination,幻觉
cozy,舒适的， 惬意的； 亲切友好的
aesthetically,审美地； 美学观点上地
obdurate,固执的， 顽固的
incredulity,怀疑， 不相信
snicker,窃笑， 暗笑
impalpable,无法触及的； 不易理解的
quiescence,静止， 沉寂
pan,〈口〉严厉批评
patronage,资助， 赞助； 惠顾
grievance,委屈， 抱怨， 牢骚
sparring,拳击， 争斗
inquisitive,好奇的， 好问的； 爱打听的
hanker,渴望， 追求
controvert,反驳， 驳斥
vicious,邪恶的， 堕落的； 恶意的， 恶毒的； 凶猛的， 危险的
strident,尖锐的， 刺耳的
enormous,极大的， 巨大的
revival,苏醒； 恢复； 复兴
list,倾斜。倾斜
wiry,瘦而结实的
unaesthetic,无美感的
remunerate,酬劳， 赔偿
revise,校订， 修正
traduce,中伤， 诽谤
aspirant,有抱负者
paramount,最重要的； 最高权力的， 至高无上的
salutation,招呼， 致意， 致敬
hot-tempered,性急的， 易怒的， 暴躁的
agility,敏捷
emerald,翠绿色的。翡翠
legislature,立法机关， 立法团体
outgoing,友善的； 即将离去的
sculpt,雕刻； 造型
fatal,致命的； 灾难性的
hormone,荷尔蒙， 激素
outstrip,超过， 超越； 比…跑得快
psychology,心理学
interrogation,审问， 质问； 疑问句
liaison,密切的联系； 暧昧的关系
realign,重新排列
ridge,脊； 隆起物
engender,产生， 引起
rarefy,使稀少， 使稀薄
coffer,保险柜， 保险箱
audacious,大胆的
peak,变得憔悴， 消瘦
pastoral,田园生活的； 宁静的
snip,剪断。剪； 碎片
animadvert,苛责， 非难
dimple,酒窝， 笑靥
hectic,兴奋的， 繁忙的， 忙乱的
copious,丰富的， 多产的
exterminate,消灭， 灭绝
blackball,投票反对； 排斥
pollinate,对…授粉
concise,简洁的
inadvertently,不小心地， 疏忽地
revive,使苏醒； 使再流行
fumigate,用烟熏消毒
lexical,词汇的； 词典的
fruitlessly,徒劳地， 无益地
amorphous,无固定形状的
parsimony,过分节俭， 吝啬
impertinent,不切题的； 无礼的， 莽撞的
peck,啄食； 轻啄
putative,公认的， 推定的
wrongheaded,坚持错误的， 固执的
verbiage,冗词， 废话
utilitarian,功利的， 实利的
dishevel,使蓬乱， 使凌乱
ceramic,陶器的。陶瓷制品
blackmail,敲诈， 勒索
stoic,坚忍克己之人
journalistic,新闻业的， 新闻工作者的
bromide,庸俗的人； 陈词滥调； 镇静剂， 安眠药
lustrous,有光泽的
overinflated,过度充气的
peep,瞥见， 偷看； 初现
peer,同等之人， 同辈
surly,脾气暴躁的； 阴沉的
lineal,直系的， 嫡系的
snob,势利小人
persecute,迫害
accolade,推崇； 赞扬
imperative,紧急的
piecemeal,一件一件的， 零碎的
robust,健壮的
peel,削去…的皮；剥落。外皮
homely,朴素的； 不漂亮的
goblet,高脚酒杯
denounce,指责
swampy,沼泽的， 湿地的
verge,边缘
peek,偷看
pastry,糕点， 点心
spinal,脊骨的， 脊髓的
caucus,政党高层会议
mirth,欢乐， 欢笑
renunciate,放弃
charade,凭动作猜字谜。猜字谜游戏
prohibit,禁止； 阻止
frugal,节约的， 节俭的
loiter,闲逛， 游荡； 慢慢前行； 消磨时光， 虚度光阴
overcast,阴天的， 阴暗的
chide,斥责， 责骂
interrogative,疑问的； 质疑的
cutlery,餐具
tempo,速度 and often by an exact metronome marking)； (动作、 生活的)步调， 节奏(rate of motion or activity)
penetrating,响亮的， 尖锐的； 刺激的； 敏锐的， 有洞察力的
deadlock,相持不下， 僵局
servile,奴性的， 百依百顺的
kidney,肾
lactic,乳汁的
aphorism,格言
rowdy,吵闹的； 粗暴的
motif,主题， 主旨
stock,储备。常用的。存货
verification,确认， 查证
suspend,暂停， 中止； 吊， 悬
sloping,倾斜的， 有坡度的
distraught,心神狂乱的， 发狂的； 心烦意乱的
surge,波涛汹涌
fondle,抚弄， 抚摸
voluble,健谈的； 易旋转的
indiscriminate,不加选择的； 随意的， 任意的
belittle,轻视， 贬低
impugn,提出异议， 对…表示怀疑
clinical,临床的； 冷静客观的
agape,大张着的
evil,邪恶的，罪恶的。坏事， 恶行
vanquish,征服， 击溃
absolve,赦免， 免除
seclusion,隔离； 隔离地
boulder,巨砾
accost,搭话
grievous,痛苦的， 悲伤的； 极严重的
lancet,柳叶刀
despise,鄙视， 蔑视
agitated,激动的； 不安的
vulgar,无教养的， 庸俗的
redeem,弥补， 赎回， 偿还
conformity,一致， 遵从； 顺从
unpack,打开包裹， 卸货
stricture,严厉谴责； 束缚
abstinent,饮食有度的， 有节制的， 禁欲的
allude,暗指， 影射， 间接提到
picayunish,微不足道的， 不值钱的
chagrin,失望， 懊恼
predator,食肉动物
forfeit,丧失，被罚没收。丧失的东西
bamboozle,欺骗， 隐瞒
jaundice,偏见； 黄疸
straiten,使为难； 使变窄
euphemism,婉言， 委婉的说法
burning,燃烧的； 强烈的
groan,呻吟，叹息。呻吟， 叹息
oleaginous,油腻的； 圆滑的， 满口恭维的
plunder,抢劫， 掠夺
distaste,厌恶。厌恶， 不喜欢
expatiate,细说， 详述
verbosity,冗长
determinant,决定性的。决定因素
pelt,扔。毛皮
coincidentally,巧合地
fracture,骨折； 折断； 裂口
figurine,小塑像， 小雕像
liberty,随意； 自由
snug,温暖舒适的
snub,冷落， 不理睬
apprentice,学徒
confidential,机密的
distent,膨胀的； 扩张的
disinclination,不愿意， 不情愿
claustrophobic,幽闭恐怖症的， 导致幽闭恐怖症的
warehouse,仓库， 货栈
verboten,禁止的， 严禁的
convalescent,康复中的 recovering from illness)
acedia,无精打采的样子； 懒惰
extricate,摆脱， 脱离； 拯救， 救出
brutality,野蛮； 暴行
shrewd,机灵的， 精明的
coruscate,闪亮
offend,得罪， 冒犯
diligent,勤奋的， 勤勉的
anomaly,异常， 反常； 异常事物
pod,剥掉。豆荚
prehensile,能抓住东西的， 缠绕的
arson,纵火， 放火
marine,海的； 海生的
inalienable,不能转让的； 不可剥夺的
pop,发出“砰”的一声； 突然出现
limousine,大型轿车， 大型豪华轿车
deluxe,豪华的， 华丽的
routine,平常的； 常规的。常规
positiveness,肯定， 确信
digestion,消化， 吸收
putrid,腐臭的
scripture,经文， 圣典
retention,保留， 保持
validate,使生效
equate,认为…相等或相仿
surplus,过剩的， 剩余的； 盈余的
clairvoyant,透视的， 有洞察力的
plenary,全体出席的； 完全的， 绝对的， 无限的
acarpous,不结果实的
yacht,帆船， 游艇
potshot,肆意抨击。盲目射击；肆意抨击
philosophic,哲学的
defiant,反抗的， 挑衅的
neolithic,新石器时代的
prosperous,繁荣的， 兴旺的
inedible,不能吃的， 不可食的
smite,重击， 猛打
canopy,蚊帐； 华盖
neutron,中子
poncho,斗篷；  雨披
incite,激发， 刺激
interpose,置于…之间； 使介入
connive,默许； 纵容； 共谋
inexcusable,不可原谅的， 不可宽恕的
inherent,固有的， 内在的
encroach,侵占， 蚕食
pronounced,显著的， 明确的
perish,死， 暴卒
stipulate,要求以…为条件； 约定， 规定
insufficient,不足的
intrinsic,固有的， 内在的， 本质的
retentive,有记性的， 记忆力强的
vestige,痕迹， 遗迹
incise,切入， 切割
proximity,接近， 临近
pry,刺探；撬开。撬杠， 杠杆
statutory,法定的； 依照法令的
receipt,收到， 接到； 发票， 收据
congeal,凝结， 凝固
foodstuff,食料， 食品
medicate,用药物医治； 加药于
correlated,有相互关系的
serpentine,像蛇般蜷曲的， 蜿蜒的
derogatory,不敬的， 贬损的
capsule,荚膜， 蒴果； 胶囊
quibble,遁词； 吹毛求疵的反对意见或批评
trespass,侵犯， 闯入私人领地
rustic,乡村的， 乡土气的
prudent,审慎的， 精明的； 节俭的， 精打细算的
autocrat,独裁者
perk,恢复， 振作； 打扮； 竖起
volatile,反复无常的； 易挥发的
steadiness,稳健， 坚定
premiere,首次公演
generic,种类的， 类属的
endorse,赞同； 背书
dalliance,虚度光阴； 调情
heinous,十恶不赦的， 可憎的
seclude,使隔离， 使孤立
funky,有霉臭味的， 有恶臭的
embargo,禁港令， 封运令
wither,干枯， 枯萎
pushy,有进取心的， 爱出风头的， 固执己见的
nocturnal,夜晚的， 夜间发生的
notorious,臭名昭著的
superimpose,重叠， 叠加
infant,婴儿
sodden,浸透了的
artifact,人工制品
seafaring,航海的， 跟航海有关的
frugality,朴素； 节俭
insouciant,漫不经心的
pedal,骑自行车。踏板，脚蹬
gustatory,味觉的， 品尝的
insightful,富有洞察力的， 有深刻见解的
impertinence,无礼， 粗鲁
lapse,失误； 流逝
quandary,困惑， 进退两难， 窘境
latent,潜在的， 潜伏的
regenerate,改造， 改进； 使再生， 新生
unquestionable,毫无疑问的， 无懈可击的
stanza,节， 段
unfounded,无事实根据的
impute,归咎于； 归于
muddle,迷惑， 困惑； 混乱
ponderous,笨重的， 不便搬运的
pirate,盗印； 掠夺。海盗；剽窃者
infection,传染； 感染
actuate,开动， 促使
emigrate,移居国外
hoax,欺骗。骗局，恶作剧
cleft,劈开的。裂缝
deserter,背弃者； 逃兵
damped,潮湿的； 减震的， 压低的
desist,停止， 中止
elite,精英； 主力， 中坚
zealotry,狂热
crimson,绯红色的。变得绯红。绯红色
growl,咆哮， 吼叫； 轰鸣
cavil,挑毛病， 吹毛求疵
anomalous,反常的； 不协调的
lexicon,词典
predatory,掠夺的； 食肉的
unintelligible,不可能理解的， 难懂的
waspish,易怒的； 尖刻的
touching,动人的， 感人的； 令人同情的
murmur,柔声地说； 抱怨
muddy,多泥的， 泥泞的； 浑浊的， 不清的
ritzy,高雅的； 势利的
ravage,摧毁， 使荒废
barren,不育的； 贫瘠的； 不结果实的
grove,小树林， 树丛
grandiose,宏伟的； 浮夸的
antiquity,古老； 古人；  古迹
centralization,集中； 集权化
foster,鼓励， 促进； 养育， 抚养
choice,上等的； 精选的
incidence,发生， 出现； 发生率
gregarious,群居的； 爱社交的
peevish,不满的， 抱怨的； 暴躁的， 坏脾气的， 易怒的
stomach,吃得下； 容忍
emulate,与…竞争， 努力赶上
synthesize,综合； 合成
irascible,易怒的
flatten,变平； 彻底打败， 击倒
trek,艰苦跋涉
circumlocution,迂回累赘的陈述
vindictive,报复的
epilogue,收场白； 尾声
piscatorial,捕鱼的， 渔业的
interrupt,暂时中止； 打断， 打扰
feasible,可行的， 可能的
unassuming,不摆架子的， 不装腔作势的， 谦逊的
prescribe,开处方； 规定
proofread,校正， 校对
flatter,恭维， 奉承
gross,总的；粗野的。全部， 总额
figment,虚构的事
dampen,潮湿； 使沮丧， 泼凉水
bereave,夺去， 丧亲
tact,机智； 圆滑
hortative,劝告的； 激励的
archive,档案室
disarm,使缴械； 使缓和
reciprocity,相互性； 互惠
eclipse,日食， 月食； 黯然失色， 衰退
exorcise,驱除妖魔； 去除
soak,浸泡， 渗透
animosity,憎恶， 仇恨
flagging,下垂的； 衰弱的
sustain,承受； 支撑
nadir,最低点
metrical,测量的； 韵律的
composure,镇静， 沉着； 自若
insurmountable,不能克服的， 不能超越的
inherently,固有地， 天性地
uphold,维护， 支持
nostalgia,思乡； 怀旧之情
viscous,黏滞的， 黏性的， 黏的
festive,欢宴的， 节日的
craven,懦弱的， 畏缩的
encounter,遭遇； 邂逅
centripetal,向心的
landslide,山崩； 压倒性的胜利
agrarian,土地的
sock,重击， 痛打
extrovert,性格外向者
irrepressible,抑制不住的， 压抑不住的
snippet,小片， 片段
repulse,击退；回绝。击退； 回绝， 拒绝
hoarse,嘶哑的， 粗哑的
tauten,拉紧， 绷紧
diligence,勤勉， 勤奋
opine,想， 以为
evaluation,评价， 评估
tramp,重步走
traitor,卖国贼， 叛徒
trim,修剪。井井有条的
nubile,适婚的； 性感的
vaulted,拱形的
fiat,法令， 政令
fictitious,假的； 虚构的
prime,首先的； 主要的； 最好的。全盛时期
amble,缓行， 漫步
domesticated,驯养的， 家养的
venture,敢于；冒险。冒险
corrosive,腐蚀性的， 腐蚀的， 蚀坏的
discern,识别， 看出
propensity,嗜好， 习性
flexible,易弯曲的； 灵活的
transience,短暂， 稍纵即逝
intoxicate,沉醉， 欣喜若狂； 喝醉
replenish,补充， 把…再备足
amenable,顺从的； 愿接受的
piousness,虔诚
soil,弄脏， 污辱
solidify,巩固， 凝固， 团结
interloper,闯入者
interweave,交织
reprehend,谴责， 责难
involvement,参与； 连累； 投入
scraggly,凹凸不平的； 散乱的
dictum,格言， 声明
spark,火花， 火星
disparity,不同， 差异
integral,构成整体所必需的； 完整的
empirically,凭经验地
feigned,假装的； 假的； 不真诚的
replicate,复制
equable,稳定的， 不变的； 温和的
desultory,不连贯的； 散漫的
affirmation,肯定； 断言
atonement,弥补
mutter,咕哝， 嘀咕
glee,欢喜， 高兴
publicize,宣传， 宣扬； 引人注意
archer,弓箭手， 射手
cultivate,种植； 培养
ineffable,不可言喻的， 难以表达的； 避讳的
stouthearted,刚毅的， 大胆的
purse,缩拢，皱起。钱包
represent,呈现； 代表； 体现
apathetic,无感情的； 无兴趣的
inconvenient,不便的， 打扰的， 造成麻烦的
glib,圆滑的， 能言善道的， 善辩的
obsequiousness,谄媚
bewildering,令人困惑的； 令人费解的
scrutable,可以了解的， 可解读的
absurd,荒谬的， 可笑的
outdated,过时的
prior,在前的； 优先的
sweltering,酷热的
trait,显著特性
purgatory,炼狱
serviceable,可用的， 耐用的
impregnable,固若金汤的， 无法攻破的
vault,拱顶； 地窖
venerate,崇敬， 敬仰
creep,匍匐前进； 悄悄地移动， 蹑手蹑脚地走
deciduous,非永久的； 短暂的； 脱落的； 落叶的
contradictory,反驳的， 反对的， 抗辩的
obviate,排除， 消除
accompany,伴随， 陪伴
perspicuous,明晰的， 明了的
seamy,丑恶的， 污秽的
interlard,使混杂， 混入
minnow,鲤科， 小鱼
platitude,陈词滥调
subpoena,传讯。【律】传票
hinge,铰链； 关键
gourmand,嗜食者
earthiness,土质， 土性
tactile,有触觉的
hone,磨刀。磨刀石
schematize,扼要表示
insouciance,漠不关心， 漫不经心
amalgam,混合物
atonal,无调的
yummy,美味的， 可口的
tamp,捣实， 夯实
gesticulate,做手势表达
spank,掌掴， 拍打
solo,单独的。独唱
impend,威胁； 即将发生
potted,盆栽的； 瓶装的， 罐装的， 壶装的
pious,虔诚的
tame,驯服的； 沉闷的， 平淡的
peculiar,独特的； 古怪的
bovine,牛的； 迟钝的
terrorize,恐吓
idiom,方言， 土语； 术语； 特有用语； 风格， 特色
unrecognized,未被承认的， 未被认出的
curdle,使凝结， 变稠
fathom,彻底了解， 弄清真相。英寻
hoop,箍， 铁环
lacerate,撕裂； 深深伤害
demolition,破坏， 毁坏
whimsical,古怪的， 异想天开的
conjoin,使结合
ridicule,嘲笑， 奚落
propulsion,推进力
protest,抗议， 反对。抗议， 反对
operative,实施中的， 运行着的； 生效的
culprit,罪犯
scintillate,闪烁； 焕发才智
singe,烧焦， 烤焦
univocal,单一意思的
underground,在地下；秘密地。地下的； 秘密的
irate,发怒的
appease,使平静， 安抚
impede,妨碍
rollicking,欢乐的， 喧闹的
anvil,铁砧
gratuity,赏钱， 小费
credo,信条
smirk,假笑， 得意地笑
brusqueness,唐突； 直率
file,档案，卷宗。把…归档[存档]
induction,就职； 归纳
intrepid,勇敢的， 刚毅的
insular,岛屿的； 心胸狭窄的
tart,酸的； 尖酸的
heave,用力举
natty,整洁的； 敏捷的， 灵巧的
creed,教义； 信条
neonate,新生儿
chasten,改正； 磨炼
positive,积极的；明确的；有信心的；无条件的。正片； 积极的要素或特点
satanic,似撒旦的， 魔鬼的， 邪恶的
prospect,勘探。期望； 前景
septic,腐败的； 脓毒性的
jubilation,欢腾， 欢庆
rustle,发出沙沙声
twinge,剧痛
return,回复；归还；回答，反驳。返回的； 重现的。回报
specialize,专门研究
vaunting,吹嘘的， 傲慢的
seraphic,如天使般的， 美丽的
hyperactivity,活动过度， 极度活跃
consonant,协调的， 一致的
inconsequential,不重要的， 微不足道的
convoluted,旋绕的； 费解的
receptive,善于接受的， 能接纳的
heterogeneous,异类的， 多样化的
astound,使震惊
inviolate,不受侵犯的， 未受损害的
host,东道主； 寄主， 宿主
kipper,腌制， 熏制 by salting and smoking)
spate,许多， 大量； 暴涨， 发洪水
sophism,诡辩； 诡辩法
clutter,弄乱。零乱
illustrate,举例说明， 用图表等说明； 阐明
hardbitten,不屈的， 顽强的
irreconcilable,无法调和的， 矛盾的
definitive,明确的， 有权威的； 最终的
unbosom,倾诉， 吐露
nomad,流浪者； 游牧部落的人
abrade,擦伤， 磨损
horn,角； 喇叭
infer,推断， 推论， 推理
monograph,专题论文
transit,通过。通过；改变；运输
saturnine,忧郁的， 阴沉的
contumacious,违抗的， 不服从的
uninspired,无灵感的， 枯燥的
concoction,混合
adolescent,青春期的。青少年
synoptic,摘要的
populous,人口稠密的
glow,发光，发热；发红。发光； 兴高采烈
exhume,掘出， 发掘
petty,琐碎的， 次要的； 小气的
sentiment,多愁善感； 思想感情
patent,显而易见的。专利权
acrimonious,尖酸刻薄的， 激烈的
pollen,花粉
outwit,以机智胜过
blanch,使变白； 使变苍白
groove,沟， 槽， 辙； 字沟； 习惯
subvention,补助金， 津贴
quantum,量子； 定量
sour,酸的
plumber,管子工， 铅管工
philistine,庸俗的人， 对文化艺术无知的人
aboveboard,光明正大的  and open)
mysticism,神秘主义
agitate,鼓动， 煽动； 使不安， 使焦虑
nebulous,模糊的； 云状的
brochure,小册子， 说明书
unscented,无气味的
equation,等式； 等同， 相等
deviation,背离
volition,意志， 决断力
discredit,怀疑。丧失名誉
badger,烦扰， 纠缠不休。獾
underlie,位于…之下； 构成…的基础； 【经】优先于
complicate,使复杂化
taut,绷紧的， 拉紧的
credible,可信的， 可靠的
intentional,存心的， 故意的
giddy,轻浮的， 轻率的
procession,行列； 列队行进
ongoing,进行中的； 前进的； 不间断的
adventitious,偶然的
sliver,裂成细片。薄长条
constellation,星座； 星群
ignorant,无知的， 愚昧的
trample,踩坏， 践踏； 蹂躏
negligible,可以忽略的， 微不足道的
bombastic,夸夸其谈的
chastisement,惩罚
distinguish,成为…的特征， 使有别于； 把…分类； 区别， 辨别
primordial,原始的， 最初的
savvy,有见识的， 精明的
husbandry,农业
negligibly,无足轻重地， 不值一提地
wield,行使； 支配， 控制
caulk,填塞使不漏水
infectious,传染的， 有传染性的
prominent,显著的； 著名的
superiority,优越
ranching,大牧场
exceptionable,引起反感的
entitle,使有权
outline,轮廓； 概要
nominal,名义上的， 有名无实的
excess,过分， 过度
perspective,思考方法； 观点， 看法； 透视法
necessitous,贫困的； 紧迫的
iterate,重申， 重做
invade,侵略， 侵入
dogma,教条， 信条
prognosis,【医】预断， 预后
repine,不满， 抱怨
sacrilege,亵渎， 冒犯神灵
adverse,有害的， 不利的； 敌对的， 相反的
cadge,乞讨； 占便宜
gourmet,美食家
consign,托运； 托人看管
reputation,名声
redoubtable,令人敬畏的， 可怕的
genesis,创始， 起源
argumentative,好争辩的， 好争吵的
restrain,克制， 抑制
provincial,省的， 地方的； 偏狭的， 粗俗的
adhesive,黏着的，带黏性的。黏合剂
monumental,极大的； 纪念碑的
profundity,深奥的事物； 深刻， 深厚
rankle,怨恨； 激怒
misapprehension,误会， 误解
multifarious,多种的， 各式各样的
conflict,斗争， 冲突， 抵触。冲突
preconception,先入之见； 偏见
squat,蹲下。矮胖的
decisiveness,坚决， 果断
barrister,出庭律师； 律师
derivative,派生的； 无创意的
purge,清洗， 洗涤
outfox,以机智胜过
unreserved,无限制的； 未被预订的
causal,原因的， 因果关系的
fallacious,欺骗性的， 误导的； 谬误的
mansion,公寓； 大厦
summary,摘要的， 简略的。摘要，概要
akin,同族的； 类似的
accustom,使习惯
feline,猫的， 猫科的
inebriate,使…醉。酒鬼， 酒徒
antedate,填写比实际日期早的日期； 早于
corrode,腐蚀， 侵蚀
artificial,人造的， 假的
chastise,严惩； 谴责
lattice,格子架
spined,有背骨的， 有脊柱的
vaporize,蒸发
humanistic,人性的； 人文主义的
pander,怂恿， 迎合
chronological,按年代顺序排列的
coerce,强迫； 压制
encapsulation,包装
sculptural,雕刻的； 雕刻般的
defuse,拆除引信， 使除去危险性；平息
desirable,值得要的
quixotic,不切实际的， 空想的
instill,滴注； 逐渐灌输
ingest,咽下， 吞下
defensive,自卫的。戒备； 防御
profiteer,奸商， 牟取暴利者
jeer,嘲笑
typhoon,台风
opportune,合适的， 适当的
deplore,悲悼， 哀叹； 谴责
compress,压缩； 压紧
resilient,有弹性的； 能恢复活力的， 适应力强的
embezzlement,贪污， 盗用
traceable,可追踪的
fallible,易犯错的
occlude,使闭塞
unexceptionable,无可挑剔的
discrepancy,差异， 矛盾
symbiosis,共生
natal,出生的， 诞生时的
prolong,延长， 拉长
antiquated,陈旧的， 过时的； 年老的
distress,痛苦， 悲痛
linguistics,语言学
irksome,令人苦恼的， 讨厌的
substitute,代替。代替品
uniform,相同的， 一致的。制服
overconfident,过于自信的， 自负的
cadet,军校或警官学校的学生
scatter,散开， 驱散
violate,违反， 侵犯
muted,减弱的， 变得轻柔的
outlying,边远的， 偏僻的
inhabit,居住于； 占据
spat,口角， 小争论
fascinating,迷人的， 醉人的
agenda,议程
comma,逗号
thump,重击， 捶击
vivacious,活泼的， 有生气的， 快活的
nonplus,使困惑。迷惑， 困惑
reconnaissance,侦察， 预先勘测
inadvisable,不明智的， 不妥当的
span,跨度； 两个界限间的距离
bizarre,奇异的， 古怪的
astronomical,极大的； 天文学的
well-intentioned,出于善意的
allure,引诱， 诱惑
cauterize,烧灼以消毒或止血
epigram,讽刺短诗， 警句
spree,狂欢
incongruity,不协调， 不相称
arresting,醒目的， 引人注意的
circuitous,迂回的， 绕圈子的
commitment,承诺， 许诺
invariable,恒定的， 不变的
solicit,恳求； 教唆
jocular,滑稽的， 幽默的； 爱开玩笑的
disciple,信徒， 弟子
collision,碰撞， 冲突
munificent,慷慨的； 丰厚的
arbiter,权威人士， 泰斗
calorie,卡路里； 卡
rumble,发出低沉的隆隆声
acerbic,尖酸的； 刻薄的
tract,传单； 大片土地
skinflint,吝啬鬼
umbrage,不快， 愤怒
hypersensitive,非常敏感的
aggregate,集合； 合计
transitoriness,暂时， 短暂
trace,追踪。痕迹
petal,花瓣
array,部署。陈列； 大批
idiosyncracy,特质
track,跟踪， 追踪。轨迹，踪迹；道路，路径；轨道
potentate,统治者， 君主
unliterary,不矫揉造作的， 不咬文嚼字的
pecan,山核桃
monetary,金钱的； 货币的
stifle,感到窒息； 抑止
demolish,破坏， 摧毁； 拆除
blooming,开着花的； 旺盛的
serial,连续的， 一系列的
unflappable,不惊慌的， 镇定的
persiflage,挖苦， 嘲弄
spew,呕吐； 大量喷出
derivation,发展， 起源； 词源
invoice,给开发票。发票，发货清单
ennui,倦怠；
comic,可笑的；喜剧的。喜剧演员
divagate,离题； 飘泊
unsettle,使不安宁， 扰乱
vague,含糊的， 不明确的； 模糊的
gingerly,小心的； 谨慎的
civility,彬彬有礼， 斯文
resplendent,华丽的， 光辉的
kangaroo,袋鼠
ephemeral,朝生暮死的； 生命短暂的
amiability,亲切， 友善
accuracy,精确， 准确
redistribution,重新分配
overbearing,专横的， 独断的
smattering,略知； 少数
quote,引用， 引述
quota,定额， 配额
dilapidated,破旧的， 毁坏的
thermal,热的，热量的；温暖的。上升的暖气流
scorn,轻蔑， 瞧不起。轻蔑
rag,旧布， 碎布； 破旧衣服
diagnostic,诊断的。诊断
execrable,可憎的， 讨厌的
culpable,有罪的， 该受谴责的
navigate,驾驶； 航行； 使通过
adaptability,适应性
sideshow,杂耍， 穿插表演
gainsay,否认
idolatrize,奉为偶像， 盲目崇拜
promenade,散步， 开车兜风。散步，开车兜风
topple,倾覆， 推倒
institute,设立，创立；制定。学院， 学会， 协会
endure,忍受， 忍耐
poster,海报， 招贴画
naysay,拒绝， 否认， 反对
convergent,会聚的
swill,冲洗； 痛饮
pell-mell,混乱地
begrudge,吝啬， 勉强给
dual,双重的
omnipotent,全能的， 万能的
treatise,论文
dexterous,灵巧的， 熟练的
cupidity,贪婪
repetitious,重复的
aspect,方面； 面貌， 外表
slimy,黏滑的
mitigate,使缓和， 使减轻
self-assertion,自作主张
signify,表示； 有重要性
fanciful,幻想的， 奇特的
slink,溜走，  潜逃
succinct,简明的， 简洁的
reconciliation,和解； 调解
swine,猪
swing,摇摆；旋转。秋千
pullet,小母鸡
dissect,解剖； 剖析
spin,旋转；纺纱。旋转
collateral,平行的；附属的；旁系的。担保品
scour,冲刷； 擦掉； 四处搜索
fleet,快速的。消磨， 疾驰； 飞逝， 掠过
imposture,冒充
saddle,鞍， 马鞍
jerk,猛拉。猛拉
guffaw,哄笑。哄笑，粗声大笑
odium,憎恶， 反感
languor,无精打采， 衰弱无力
dubious,可疑的； 有问题的， 靠不住的
ductile,易延展的； 可塑的
swift,迅速的； 敏捷的
liquidate,清算； 清偿
ratify,批准
unscrupulousness,狂妄， 不择手段
amend,改正， 修正； 改善
finite,有限的
propitious,吉利的， 顺利的； 有利的
consent,同意， 允许
benevolent,善心的， 仁心的
curator,馆长
contiguous,接壤的； 接近的
rifle,抢夺， 偷走。步枪
riveting,非常精彩的， 引人入胜的
comprehensively,包括地； 全面地
incendiary,放火的， 纵火的
slouch,没精打采地坐。没精打采的样子
scamper,奔跑， 蹦蹦跳跳
foreclose,排除； 取消赎回权
svelte,体态苗条的
irresponsible,不对更高一级负责的；不承担责任的；无责任感的；无负责能力的。不负责任的人， 无责任感的人
notate,以符号表示
enumerate,列举， 枚举
molecular,分子的
morale,士气， 民心
expatriate,驱逐， 流放； 移居国外
periphery,次要部分； 外围， 周围； 外表面
estrange,使疏远
intersect,相交； 贯穿， 横穿
embrace,拥抱； 包含
judicious,有判断力的； 审慎的
spoilsport,使人扫兴的人
misogyny,厌恶女人
irritation,愤怒， 恼怒
jest,说笑， 开玩笑。笑话，俏皮话
modify,修改， 更改
mortify,使丢脸， 侮辱
villainous,邪恶的， 恶毒的
exempt,被免除的，被豁免的。免除， 豁免
crab,抱怨， 发牢骚。蟹，螃蟹
feminist,女权运动者
albeit,虽然， 尽管
aesthetic,美学的， 审美的
untouched,未触动过的， 未改变的
caption,标题
yearn,盼望， 渴望
reincarnate,使转世
carbohydrate,碳水化合物
rig,操纵， 垄断
defect,变节， 脱党。缺点，瑕疵
subsume,包含， 包括
decline,拒绝；变弱，变小。消减
rip,撕， 撕裂
slobber,流口水； 情不自禁地说。口水
impound,限制； 依法没收， 扣押
embroider,刺绣， 镶边； 装饰
whistle,吹口哨， 鸣笛。口哨声；汽笛声
snappy,生气勃勃的； 漂亮的， 时髦的
nonchalant,冷淡的， 冷漠的
guise,外观， 装束； 伪装， 假装
trilogy,三部曲
sterile,贫瘠且无植被的； 无细菌的
animated,活生生的， 生动的
mighty,强有力的， 强大的； 巨大的
reactionary,极端保守的， 反动的
sophomoric,一知半解的
repugnance,嫌恶， 反感
imprudent,轻率的； 不理智的
ail,生病
portentous,凶兆的
retain,保留， 保持； 留住， 止住
drastic,猛烈的， 激烈的
venial,轻微的， 可原谅的
spear,用矛刺。矛；嫩枝
decorum,礼节， 礼貌
accommodate,与…一致； 提供住宿； 顺应， 使适应
